Request_Number,Connect_Time(s),TLS_Handshake(s),Total_Time(s),Elapsed_Time(s),Status,Success_Count,Bytes_Sent(B),Bytes_Received(B),KEM,Signature,Cert_Size(B)
141,0.070403,0.73644,0.752889,1.5548276901245117,Success,107/500,1282,21302,x25519_mlkem512,dilithium5,14953
135,0.257045,1.4982,2.080224,0.4386293888092041,Success,108/500,1282,21308,x25519_mlkem512,dilithium5,14953
126,0.122144,0.974996,1.023092,0.9661939144134521,Success,109/500,1282,21302,x25519_mlkem512,dilithium5,14953
367,0.005355,0.6596,0.664133,1.3071660995483398,Success,110/500,1282,21308,x25519_mlkem512,dilithium5,14953
117,0.37539,1.461667,1.496058,1.5588619709014893,Success,111/500,1282,21308,x25519_mlkem512,dilithium5,14953
108,0.080561,0.936445,1.15704,1.5635039806365967,Success,112/500,1282,21308,x25519_mlkem512,dilithium5,14953
99,0.378088,1.59202,1.639183,1.5737245082855225,Success,113/500,1282,21308,x25519_mlkem512,dilithium5,14953
90,0.031656,0.909049,1.359591,1.578622579574585,Success,114/500,1282,21308,x25519_mlkem512,dilithium5,14953
337,0.006203,0.557534,0.565657,0.0017464160919189453,Success,115/500,1282,21308,x25519_mlkem512,dilithium5,14953
321,0.038192,1.169493,1.18798,1.4523673057556152,Success,116/500,1282,21308,x25519_mlkem512,dilithium5,14953
312,0.077223,0.791513,0.843345,1.453242540359497,Success,117/500,1282,21302,x25519_mlkem512,dilithium5,14953
81,0.199559,1.286994,1.414234,1.5766832828521729,Success,118/500,1282,21308,x25519_mlkem512,dilithium5,14953
72,0.008504,0.597274,0.602896,0.07442545890808105,Success,119/500,1282,21302,x25519_mlkem512,dilithium5,14953
239,0.02487,0.810098,0.832554,0.9262139797210693,Success,120/500,1282,21308,x25519_mlkem512,dilithium5,14953
294,0.123092,2.001837,2.04459,1.4726011753082275,Success,121/500,1282,21308,x25519_mlkem512,dilithium5,14953
63,0.011311,0.712691,0.854515,0.07834863662719727,Success,122/500,1282,21302,x25519_mlkem512,dilithium5,14953
221,0.190301,1.168048,1.51785,1.5240302085876465,Success,123/500,1282,21308,x25519_mlkem512,dilithium5,14953
